1
0 7.68916802e-07
1800 8.63993330e-07
3600 9.70649060e-07
5400 1.09026067e-06
7200 1.22436137e-06
9000 1.37465699e-06
10800 1.54304311e-06
12600 1.73162320e-06
14400 1.94272752e-06
16200 2.17893233e-06
18000 2.44307874e-06
19800 2.73829005e-06
21600 3.06798582e-06
23400 3.43588968e-06
25200 3.84602614e-06
27000 4.30269806e-06
28800 4.81043025e-06
30600 5.37385224e-06
32400 5.99746562e-06
34200 6.68517758e-06
36000 7.43930565e-06
37800 8.25818270e-06
39600 9.12896806e-06
41400 9.99277715e-06
43200 1.03711963e-05
45000 9.99277715e-06
46800 9.12896806e-06
48600 8.25818270e-06
50400 7.43930565e-06
52200 6.68517758e-06
54000 5.99746562e-06
55800 5.37385224e-06
57600 4.81043025e-06
59400 4.30269806e-06
61200 3.84602614e-06
63000 3.43588968e-06
64800 3.06798582e-06
66600 2.73829005e-06
68400 2.44307874e-06
70200 2.17893233e-06
72000 1.94272752e-06
73800 1.73162320e-06
75600 1.54304311e-06
77400 1.37465699e-06
79200 1.22436137e-06
81000 1.09026067e-06
82800 9.70649060e-07
84600 8.63993330e-07
86400 7.68916802e-07
